0,1
2021-12-11 17:33:56+00:00,@Erdayastronaut Very impressive development history
2021-12-11 17:28:37+00:00,@AlbertEinstein 👽
2021-12-11 17:23:50+00:00,@PPathole Absolutely
2021-12-11 17:22:40+00:00,@shivon 🤚
2021-12-11 07:54:26+00:00,@ajtourville They have no idea
2021-12-11 07:46:51+00:00,@engineers_feed Um … yes
2021-12-11 05:37:00+00:00,@WholeMarsBlog Should arguably be called 11
2021-12-11 05:36:19+00:00,@WholeMarsBlog 10.7 next week is great
2021-12-11 05:25:46+00:00,@Model3Owners That is not the production wiper
2021-12-10 23:33:50+00:00,@tesletter Lasers can do anything
2021-12-10 22:05:57+00:00,@Tesmanian_com There will be a few tweaks before production
2021-12-10 22:04:35+00:00,@JeremyCom I do aspire to entertain the people!
2021-12-10 19:10:52+00:00,@GailAlfarATX @SawyerMerritt @dogecoin Imbued gold/bronze color would be sick
2021-12-10 18:20:43+00:00,"@jackfarrington @SawyerMerritt Manufacturers have to ship cars with side mirrors by law, but owners are allowed to… https://t.co/4r6RbRrfJQ"
2021-12-10 18:14:12+00:00,"@TeslaDylan @SawyerMerritt Not at first, but there are many third party options for wrapping"
2021-12-10 18:12:25+00:00,"@SawyerMerritt Cybertruck can have any color you want, so long as it’s nothing"
2021-12-10 17:52:37+00:00,Mars &amp; Cars
2021-12-10 17:37:56+00:00,@SawyerMerritt CGI IRL
2021-12-10 17:29:40+00:00,"Wow, only three weeks to 2022! 
What will 2032 will be like? 
Seems so futuristic!
Will we be on Mars?"
2021-12-10 17:19:13+00:00,Hahaha … ?1
2021-12-10 07:20:45+00:00,@Albi_SideArms maybe i will …
2021-12-10 07:19:05+00:00,@jack https://t.co/ueyR6NAwap
2021-12-10 06:44:19+00:00,@SawyerMerritt 🤣🤣
2021-12-10 04:42:00+00:00,@SawyerMerritt Tesla China has done amazing work
2021-12-10 04:21:25+00:00,@MrBeast 🙏
2021-12-10 04:20:58+00:00,@planet4589 Earth should be called Water
2021-12-10 04:02:41+00:00,@samifouad 🤣
2021-12-10 03:59:06+00:00,@tobyliiiiiiiiii noobtoob
2021-12-10 03:56:22+00:00,thinking of quitting my jobs &amp; becoming an influencer full-time wdyt
2021-12-10 02:51:25+00:00,https://t.co/ZrZ1EfLYWy
2021-12-09 20:43:05+00:00,@teslaownersSV 🔥🔥
2021-12-09 20:19:29+00:00,@BillyM2k @TheCryptoCPA 😬
2021-12-09 18:12:36+00:00,"RT @SpaceX: More photos from last night's Falcon 9 launch of @NASA's IXPE mission to better understand black holes, neutron stars, and othe…"
2021-12-09 18:11:56+00:00,@BallAerospace @NASA_Marshall @NASA @SpaceX Congrats!
2021-12-09 18:11:43+00:00,@_rykllan @SpaceX @FelixSchlang @MarcusHouse @Erdayastronaut @bluemoondance74 @NextHorizonsSF Rocket fleets grows
2021-12-09 18:09:31+00:00,@SquawkCNBC @GordonJohnson19 🤣🤣
2021-12-09 18:00:34+00:00,@Rainmaker1973 Amazing engine!
2021-12-09 17:39:45+00:00,@cnunezimages @SpaceX @SpaceIntellige3 💯
2021-12-09 13:38:30+00:00,@Rainmaker1973 Shanghai is beautiful
2021-12-09 07:09:45+00:00,@PPathole Probably way sooner before it’s too hot for civilization
2021-12-08 22:09:26+00:00,RT @SpaceX: All systems and weather are looking good ahead of tonight’s launch of IXPE for @NASA https://t.co/bJFjLCzWdK https://t.co/tCYnB…
2021-12-08 21:11:08+00:00,"Unless susceptible to extreme natural disasters, nuclear power plants should not be shut down"
2021-12-08 21:04:14+00:00,"@WatcherGuru Taxing all billionaires at 100% only drops national debt by ~10%, which is just one year of deficit spending"
2021-12-08 21:02:40+00:00,"@WatcherGuru This is scary, something’s got to give"
2021-12-08 20:56:14+00:00,Nothing is more permanent than a “temporary” government program
2021-12-08 20:53:21+00:00,@traderjourney Exactly!
